ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,T_TL,M_TL,F_TL,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus
Kersa (East Hararge),ET041008,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,225510,113024,112485,34522,36834,34358,17558,6577,16643,16215,12348,13099,8683,6621,5484,4254,3917,8398,17302,18461,17220,8800,3296,8342,8127,6189,6565,4352,3318,2749,2132,1963,4209,17220,18373,17138,8758,3280,8302,8088,6159,6534,4331,3303,2735,2122,1954,4189
Meta,ET041009,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,355634,178970,176664,54442,58088,54183,27689,10371,26247,25572,19472,20658,13693,10441,8648,6708,6177,13244,27398,29232,27267,13934,5219,13209,12869,9799,10396,6891,5254,4352,3376,3108,6665,27045,28856,26916,13755,5152,13038,12703,9673,10262,6802,5187,4296,3332,3068,6579
Goro Gutu,ET041010,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,203734,103749,99985,31189,33277,31040,15862,5941,15036,14649,11155,11834,7845,5982,4954,3843,3538,7587,15882,16946,15807,8078,3026,7657,7460,5681,6026,3995,3046,2523,1957,1802,3864,15306,16331,15233,7785,2916,7379,7189,5475,5808,3850,2936,2431,1886,1737,3723
Deder,ET041011,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,288620,140767,147853,44183,47142,43973,22471,8417,21301,20753,15803,16765,11113,8474,7019,5444,5013,10748,21549,22992,21447,10960,4105,10389,10122,7708,8177,5420,4133,3423,2655,2445,5242,22634,24150,22526,11511,4312,10912,10631,8096,8588,5693,4341,3596,2789,2568,5506
Melka Balo,ET041012,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,249285,126946,122339,38162,40717,37980,19409,7270,18398,17925,13649,14480,9598,7319,6062,4702,4330,9283,19433,20735,19341,9884,3702,9369,9128,6951,7374,4888,3727,3087,2395,2205,4728,18728,19982,18639,9525,3568,9029,8797,6699,7106,4711,3592,2975,2308,2125,4556
Bedeno,ET041013,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,333706,167700,166006,51085,54506,50843,25981,9732,24629,23995,18272,19384,12849,9797,8115,6295,5796,12427,25672,27392,25550,13057,4891,12377,12058,9182,9741,6457,4924,4078,3163,2913,6245,25413,27115,25292,12925,4841,12252,11937,9089,9643,6392,4874,4037,3131,2883,6182
Midhaga Tola,ET041014,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,106981,54834,52147,16377,17474,16299,8329,3120,7896,7692,5858,6214,4119,3141,2602,2018,1858,3984,8394,8956,8354,4269,1599,4047,3943,3002,3185,2111,1610,1333,1034,952,2042,7983,8518,7945,4060,1521,3849,3750,2855,3029,2008,1531,1268,984,906,1942
Chinaksen,ET041015,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,126949,65215,61734,19434,20735,19342,9884,3702,9369,9128,6951,7374,4888,3727,3087,2395,2205,4728,9983,10652,9936,5077,1902,4813,4689,3571,3788,2511,1915,1586,1230,1133,2429,9451,10083,9406,4806,1800,4556,4439,3380,3586,2377,1812,1501,1165,1072,2299
Girawa,ET041016,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,333410,168508,164902,51040,54458,50797,25958,9723,24607,23974,18255,19367,12838,9789,8108,6289,5791,12416,25796,27524,25673,13120,4914,12436,12116,9226,9788,6488,4947,4098,3179,2927,6275,25244,26935,25124,12839,4809,12170,11857,9029,9579,6349,4841,4010,3111,2864,6141
Golo Oda,ET041017,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,146781,75090,71691,22470,23975,22363,11428,4281,10833,10554,8037,8526,5652,4309,3569,2769,2549,5466,11495,12265,11441,5846,2190,5542,5399,4111,4362,2891,2205,1826,1416,1304,2796,10975,11710,10923,5582,2091,5291,5155,3925,4164,2760,2105,1743,1352,1245,2670
Meyu Muleke,ET041018,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,65385,32996,32389,10009,10680,9962,5091,1907,4826,4701,3580,3798,2518,1920,1590,1233,1136,2435,5051,5389,5027,2569,962,2435,2373,1807,1917,1270,969,802,622,573,1229,4958,5290,4935,2522,945,2390,2329,1773,1881,1247,951,788,611,563,1206
Haromaya town,ET041019,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,60705,30951,29754,9293,9915,9249,4726,1770,4480,4365,3324,3526,2337,1782,1476,1145,1054,2261,4738,5055,4716,2410,903,2284,2226,1695,1798,1192,909,753,584,538,1153,4555,4860,4533,2317,868,2196,2139,1629,1728,1146,874,724,561,517,1108
Goro Muti,ET041089,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,102503,51012,51491,15692,16742,15617,7981,2989,7565,7370,5612,5954,3947,3009,2493,1934,1780,3817,7809,8332,7772,3972,1488,3765,3668,2793,2963,1964,1498,1241,962,886,1900,7883,8410,7845,4009,1502,3800,3702,2819,2991,1983,1512,1252,971,894,1918
Deder town,ET041097,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,25606,13616,11990,3920,4182,3901,1994,747,1890,1841,1402,1487,986,752,623,483,445,954,2084,2224,2074,1060,397,1005,979,746,791,524,400,331,257,236,507,1835,1958,1827,934,350,885,862,656,696,462,352,292,226,208,447
Kumbi,ET041098,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,29215,14714,14501,4472,4772,4451,2275,852,2156,2101,1600,1697,1125,858,710,551,507,1088,2253,2403,2242,1146,429,1086,1058,806,855,567,432,358,278,256,548,2220,2368,2209,1129,423,1070,1043,794,842,558,426,353,274,252,540
Aweday town,ET041099,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,15183,7776,7407,2324,2480,2313,1182,443,1121,1092,831,882,585,446,369,286,264,565,1190,1270,1185,605,227,574,559,426,452,299,228,189,147,135,290,1134,1210,1129,577,216,547,533,406,430,285,217,180,140,129,276
Agarfa,ET041104,Bale,ET0411,Oromia,ET04,Ethiopia,ET,148015,75168,72847,22659,24176,22551,11524,4317,10924,10643,8104,8598,5699,4346,3599,2792,2571,5512,11507,12278,11452,5852,2192,5548,5405,4116,4366,2894,2207,1828,1418,1306,2799,11152,11899,11099,5672,2124,5376,5238,3989,4231,2805,2139,1772,1374,1265,2713
Gasera,ET041106,Bale,ET0411,Oromia,ET04,Ethiopia,ET,110318,56259,54059,16888,18019,16808,8589,3217,8142,7932,6040,6408,4248,3239,2683,2081,1916,4108,8612,9189,8571,4380,1641,4152,4045,3080,3268,2166,1652,1368,1061,977,2095,8276,8830,8236,4209,1577,3990,3887,2960,3140,2081,1587,1315,1020,939,2013
Sinana,ET041109,Bale,ET0411,Oromia,ET04,Ethiopia,ET,162864,84752,78112,24932,26602,24814,12680,4750,12020,11711,8917,9460,6271,4782,3961,3072,2829,6065,12974,13843,12913,6599,2472,6255,6094,4640,4923,3263,2488,2061,1599,1472,3156,11958,12759,11901,6082,2278,5765,5617,4277,4537,3008,2293,1900,1473,1357,2909
Goba (OR),ET041110,Bale,ET0411,Oromia,ET04,Ethiopia,ET,55980,28195,27785,8570,9144,8529,4358,1633,4132,4025,3065,3252,2155,1644,1361,1056,972,2085,4316,4605,4296,2195,822,2081,2027,1544,1638,1086,828,686,532,490,1050,4253,4538,4233,2163,810,2051,1998,1521,1614,1070,816,676,524,483,1035
Harena Buluk,ET041111,Bale,ET0411,Oromia,ET04,Ethiopia,ET,77824,39293,38531,11914,12712,11857,6059,2270,5744,5596,4261,4521,2997,2285,1893,1468,1352,2898,6015,6418,5987,3059,1146,2900,2825,2151,2282,1513,1154,956,741,682,1463,5898,6294,5870,3000,1124,2844,2771,2110,2238,1484,1131,937,727,669,1435
Mena (Bale),ET041112,Bale,ET0411,Oromia,ET04,Ethiopia,ET,21058,10779,10279,3224,3440,3208,1640,614,1554,1514,1153,1223,811,618,512,397,366,784,1650,1761,1642,839,314,796,775,590,626,415,316,262,203,187,401,1574,1679,1566,800,300,759,739,563,597,396,302,250,194,179,383
Meda Welabu,ET041113,Bale,ET0411,Oromia,ET04,Ethiopia,ET,135763,67992,67771,20783,22175,20684,10570,3959,10020,9762,7434,7886,5227,3986,3302,2561,2358,5056,10409,11106,10359,5294,1983,5018,4889,3723,3949,2618,1996,1653,1283,1181,2532,10375,11069,10325,5276,1976,5002,4873,3711,3937,2609,1990,1648,1278,1177,2524
Berbere,ET041114,Bale,ET0411,Oromia,ET04,Ethiopia,ET,127889,65257,62632,19578,20889,19485,9957,3730,9439,9196,7002,7429,4924,3755,3110,2412,2221,4763,9990,10659,9942,5081,1903,4816,4692,3573,3791,2513,1916,1587,1231,1133,2430,9588,10230,9542,4876,1827,4622,4503,3429,3638,2412,1839,1523,1181,1088,2332
Gura Damole,ET041115,Bale,ET0411,Oromia,ET04,Ethiopia,ET,40544,20064,20480,6207,6622,6177,3157,1182,2992,2915,2220,2355,1561,1190,986,765,704,1510,3071,3277,3057,1562,585,1481,1443,1099,1165,773,589,488,378,348,747,3135,3345,3120,1595,597,1511,1473,1121,1190,789,601,498,386,356,763
Goro (Bale),ET041116,Bale,ET0411,Oromia,ET04,Ethiopia,ET,10467,5329,5138,1602,1710,1595,815,305,772,753,573,608,403,307,255,197,182,390,816,870,812,415,155,393,383,292,310,205,156,130,101,93,198,787,839,783,400,150,379,369,281,298,198,151,125,97,89,191
Robe Town,ET041119,Bale,ET0411,Oromia,ET04,Ethiopia,ET,29955,15891,14064,4586,4893,4564,2332,874,2211,2154,1640,1740,1153,879,728,565,520,1116,2433,2596,2421,1237,463,1173,1143,870,923,612,467,386,300,276,592,2153,2297,2143,1095,410,1038,1011,770,817,542,413,342,265,244,524
Goba town,ET041120,Bale,ET0411,Oromia,ET04,Ethiopia,ET,63319,29701,33618,9693,10342,9647,4930,1847,4673,4553,3467,3678,2438,1859,1540,1194,1100,2358,4547,4851,4525,2312,866,2192,2136,1626,1725,1144,872,722,560,516,1106,5146,5491,5122,2617,980,2481,2417,1841,1953,1294,987,818,634,584,1252
Dinsho,ET041122,Bale,ET0411,Oromia,ET04,Ethiopia,ET,55530,27213,28317,8501,9070,8460,4323,1619,4098,3993,3040,3226,2138,1630,1350,1047,964,2068,4166,4445,4146,2119,794,2008,1957,1490,1581,1048,799,662,513,473,1013,4335,4625,4314,2205,826,2090,2036,1550,1645,1090,831,689,534,492,1055
Yabelo,ET041207,Borena,ET0412,Oromia,ET04,Ethiopia,ET,25872,12553,13318,3961,4226,3942,2014,754,1909,1860,1417,1503,996,760,629,488,449,963,1922,2050,1913,977,366,926,903,687,729,483,369,305,237,218,467,2039,2175,2029,1037,388,983,958,729,774,513,391,324,251,231,496
Arero,ET041208,Borena,ET0412,Oromia,ET04,Ethiopia,ET,67911,34118,33793,10396,11092,10347,5287,1980,5012,4883,3718,3945,2615,1994,1651,1281,1179,2529,5223,5573,5198,2656,995,2518,2453,1868,1982,1314,1002,830,644,593,1271,5173,5520,5149,2631,986,2494,2430,1850,1963,1301,992,822,637,587,1258
Moyale (OR),ET041210,Borena,ET0412,Oromia,ET04,Ethiopia,ET,42796,22059,20737,6551,6990,6520,3332,1248,3158,3077,2343,2486,1648,1256,1041,807,743,1594,3377,3603,3361,1717,643,1628,1586,1208,1281,849,648,536,416,383,821,3175,3387,3159,1615,605,1530,1491,1135,1205,798,609,504,391,360,772
Dire,ET041211,Borena,ET0412,Oromia,ET04,Ethiopia,ET,104511,52443,52068,15999,17070,15923,8137,3048,7713,7515,5722,6071,4024,3068,2542,1971,1815,3892,8028,8566,7990,4083,1529,3870,3771,2871,3046,2019,1540,1275,989,911,1953,7971,8505,7933,4054,1518,3843,3744,2851,3024,2005,1529,1266,982,904,1939
Teltale,ET041212,Borena,ET0412,Oromia,ET04,Ethiopia,ET,99761,51063,48698,15272,16295,15199,7767,2909,7363,7173,5462,5795,3841,2929,2426,1882,1733,3715,7817,8340,7780,3976,1489,3769,3672,2796,2966,1966,1499,1242,963,887,1902,7455,7954,7419,3791,1420,3594,3502,2666,2829,1875,1430,1184,919,846,1814
Miyo,ET041216,Borena,ET0412,Oromia,ET04,Ethiopia,ET,71882,35438,36444,11004,11741,10952,5597,2096,5305,5169,3936,4175,2768,2110,1748,1356,1248,2677,5425,5788,5399,2759,1033,2615,2548,1940,2058,1364,1040,862,668,615,1320,5579,5953,5553,2837,1063,2690,2620,1995,2117,1403,1070,886,687,633,1357
Dilo,ET041219,Borena,ET0412,Oromia,ET04,Ethiopia,ET,15778,7824,7954,2415,2577,2404,1228,460,1164,1135,864,917,608,463,384,298,274,588,1198,1278,1192,609,228,577,563,428,454,301,230,190,148,136,291,1218,1299,1212,619,232,587,572,436,462,306,234,193,150,138,296
Dhas,ET041220,Borena,ET0412,Oromia,ET04,Ethiopia,ET,25048,12261,12788,3835,4091,3816,1950,730,1849,1801,1372,1455,964,735,609,472,435,933,1877,2003,1868,955,358,905,882,671,712,472,360,298,231,213,457,1958,2089,1948,996,373,944,919,700,743,492,375,311,241,222,476
Gomole,ET041223,Borena,ET0412,Oromia,ET04,Ethiopia,ET,29507,15333,14174,4517,4820,4496,2297,861,2178,2122,1616,1714,1136,866,718,557,512,1099,2347,2504,2336,1194,447,1132,1102,840,891,590,450,373,289,266,571,2170,2315,2160,1104,413,1046,1019,776,823,546,416,345,267,246,528
Guchi,ET041290,Borena,ET0412,Oromia,ET04,Ethiopia,ET,21577,11075,10502,3303,3524,3287,1680,629,1592,1551,1181,1253,831,633,525,407,375,804,1695,1809,1687,862,323,817,796,606,643,426,325,269,209,192,412,1608,1715,1600,818,306,775,755,575,610,404,308,255,198,182,391
Dubluk,ET041291,Borena,ET0412,Oromia,ET04,Ethiopia,ET,29375,15300,14075,4497,4798,4476,2287,857,2168,2112,1608,1706,1131,862,714,554,510,1094,2342,2499,2331,1191,446,1129,1100,838,889,589,449,372,289,266,570,2155,2299,2144,1096,410,1039,1012,771,818,542,413,342,266,244,524
Elwaya,ET041295,Borena,ET0412,Oromia,ET04,Ethiopia,ET,29567,15116,14451,4526,4829,4505,2302,862,2182,2126,1619,1717,1138,868,719,558,514,1101,2314,2469,2303,1177,441,1116,1087,828,878,582,444,368,285,263,563,2212,2360,2202,1125,421,1067,1039,791,839,556,424,351,273,251,538
Yabelo town,ET041296,Borena,ET0412,Oromia,ET04,Ethiopia,ET,34551,18386,16165,5289,5643,5264,2690,1008,2550,2484,1892,2007,1330,1014,840,652,600,1287,2815,3003,2801,1431,536,1357,1322,1007,1068,708,540,447,347,319,685,2475,2640,2463,1259,471,1193,1162,885,939,622,475,393,305,281,602
Wachile,ET041298,Borena,ET0412,Oromia,ET04,Ethiopia,ET,27961,12934,15026,4280,4567,4260,2177,815,2064,2010,1531,1624,1077,821,680,527,486,1041,1980,2113,1971,1007,377,955,930,708,751,498,380,315,244,225,482,2300,2454,2289,1170,438,1109,1080,823,873,579,441,365,283,261,560
Ameya,ET041301,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,171413,86078,85335,26241,27998,26116,13346,4999,12651,12325,9386,9957,6600,5033,4168,3233,2977,6383,13177,14060,13115,6702,2510,6353,6189,4713,5000,3314,2527,2093,1624,1495,3206,13063,13938,13001,6644,2489,6298,6136,4672,4957,3286,2505,2075,1610,1482,3178
Wenchi,ET041302,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,129743,64739,65004,19862,21192,19767,10101,3784,9575,9329,7104,7536,4996,3809,3155,2447,2253,4832,9911,10574,9863,5040,1888,4778,4655,3545,3760,2493,1901,1574,1221,1124,2411,9951,10618,9904,5061,1896,4798,4674,3559,3776,2503,1908,1581,1226,1129,2421
Waliso,ET041303,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,198515,98603,99912,30390,32425,30245,15456,5789,14651,14274,10869,11531,7644,5828,4828,3745,3448,7393,15095,16105,15023,7677,2876,7277,7090,5399,5728,3797,2895,2398,1860,1713,3672,15295,16319,15222,7779,2914,7374,7184,5471,5804,3847,2933,2430,1885,1735,3721
Dawo,ET041304,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,118110,59697,58413,18081,19292,17995,9196,3444,8717,8493,6467,6861,4548,3468,2872,2228,2051,4398,9139,9751,9095,4648,1741,4406,4292,3269,3468,2299,1753,1452,1126,1037,2223,8942,9541,8900,4548,1703,4311,4200,3198,3393,2249,1715,1421,1102,1015,2175
Ilu,ET041305,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,90379,45273,45105,13836,14762,13770,7037,2636,6670,6499,4949,5250,3480,2653,2198,1705,1570,3366,6931,7395,6898,3525,1320,3341,3255,2479,2630,1743,1329,1101,854,786,1686,6905,7367,6872,3512,1315,3329,3243,2470,2620,1737,1324,1097,851,783,1680
Kersana Malima,ET041307,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,115203,58615,56588,17636,18817,17552,8969,3360,8502,8284,6308,6692,4436,3382,2802,2173,2001,4290,8973,9574,8930,4564,1709,4326,4215,3209,3405,2257,1721,1425,1106,1018,2183,8663,9243,8622,4406,1650,4176,4069,3098,3287,2179,1661,1376,1067,983,2107
Tole,ET041308,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,88128,44365,43763,13491,14395,13427,6861,2570,6504,6337,4825,5119,3393,2587,2143,1662,1531,3282,6792,7246,6759,3454,1294,3274,3190,2429,2577,1708,1303,1079,837,771,1652,6699,7148,6668,3407,1276,3230,3147,2396,2542,1685,1285,1064,826,760,1630
Becho (SW Shewa),ET041309,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,110384,55506,54878,16898,18030,16818,8594,3219,8147,7937,6044,6412,4250,3241,2684,2082,1917,4111,8497,9066,8457,4322,1619,4097,3991,3039,3224,2137,1630,1350,1047,964,2067,8401,8964,8361,4273,1600,4050,3946,3005,3188,2113,1611,1335,1035,953,2044
Seden Sodo,ET041310,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,96843,48409,48434,14825,15818,14755,7540,2824,7147,6963,5303,5625,3729,2843,2355,1827,1682,3606,7411,7907,7375,3769,1412,3573,3481,2651,2812,1864,1421,1177,913,841,1803,7415,7911,7379,3771,1412,3575,3483,2652,2813,1865,1422,1178,914,841,1804
Woliso town,ET041311,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,74855,36936,37919,11459,12227,11405,5828,2183,5525,5382,4099,4348,2882,2198,1820,1412,1300,2788,5654,6033,5627,2876,1077,2726,2656,2022,2145,1422,1084,898,697,641,1376,5805,6194,5777,2952,1106,2799,2727,2076,2203,1460,1113,922,715,659,1412
Goro (SW Shewa),ET041312,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,60335,30154,30180,9236,9855,9192,4697,1760,4453,4338,3304,3505,2323,1771,1467,1138,1048,2247,4616,4925,4594,2348,879,2225,2168,1651,1752,1161,885,733,569,524,1123,4620,4930,4598,2350,880,2227,2170,1652,1753,1162,886,734,569,524,1124
Sodo Daci,ET041314,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,57493,29052,28440,8801,9391,8759,4476,1677,4243,4134,3148,3340,2214,1688,1398,1084,999,2141,4447,4745,4426,2262,847,2144,2089,1591,1688,1119,853,707,548,505,1082,4354,4645,4333,2214,829,2099,2045,1557,1652,1095,835,692,536,494,1059
Uraga,ET041401,Guji,ET0414,Oromia,ET04,Ethiopia,ET,246673,123171,123502,37762,40291,37582,19205,7194,18205,17737,13506,14328,9498,7242,5999,4653,4284,9186,18856,20118,18766,9590,3592,9090,8857,6744,7155,4743,3616,2995,2323,2139,4587,18906,20172,18816,9616,3602,9115,8880,6762,7174,4755,3626,3003,2330,2145,4599
Bore,ET041402,Guji,ET0414,Oromia,ET04,Ethiopia,ET,294860,147733,147127,45139,48161,44924,22957,8599,21762,21202,16145,17127,11353,8657,7171,5562,5121,10981,22616,24130,22508,11502,4308,10903,10623,8089,8581,5688,4337,3593,2787,2566,5502,22523,24031,22416,11455,4291,10858,10579,8056,8546,5665,4320,3578,2775,2555,5479
Adola,ET041403,Guji,ET0414,Oromia,ET04,Ethiopia,ET,151127,76508,74619,23135,24685,23025,11766,4407,11154,10867,8275,8778,5819,4437,3675,2851,2625,5628,11712,12497,11657,5957,2231,5647,5501,4189,4444,2946,2246,1861,1443,1329,2849,11423,12188,11369,5810,2176,5507,5365,4086,4334,2873,2191,1815,1408,1296,2779
Wadera,ET041404,Guji,ET0414,Oromia,ET04,Ethiopia,ET,72282,36543,35739,11065,11806,11013,5628,2108,5335,5197,3958,4199,2783,2122,1758,1363,1255,2692,5594,5969,5568,2845,1066,2697,2628,2001,2123,1407,1073,889,689,635,1361,5471,5837,5445,2783,1042,2638,2570,1957,2076,1376,1049,869,674,621,1331
Odo Shakiso,ET041405,Guji,ET0414,Oromia,ET04,Ethiopia,ET,87235,44450,42784,13354,14249,13291,6792,2544,6438,6273,4776,5067,3359,2561,2121,1646,1515,3249,6805,7260,6772,3461,1296,3281,3196,2434,2582,1712,1305,1081,838,772,1655,6550,6988,6519,3331,1248,3158,3076,2343,2485,1647,1256,1040,807,743,1593
Liben,ET041407,Guji,ET0414,Oromia,ET04,Ethiopia,ET,87769,44034,43735,13436,14336,13372,6833,2560,6478,6311,4806,5098,3379,2577,2134,1656,1524,3269,6741,7192,6709,3428,1284,3250,3166,2411,2558,1695,1293,1071,831,765,1640,6695,7144,6663,3405,1275,3228,3145,2395,2540,1684,1284,1064,825,760,1629
Dama,ET041408,Guji,ET0414,Oromia,ET04,Ethiopia,ET,79021,38917,40104,12097,12907,12039,6152,2304,5832,5682,4327,4590,3043,2320,1922,1491,1372,2943,5958,6357,5929,3030,1135,2872,2798,2131,2261,1498,1143,946,734,676,1449,6139,6550,6110,3122,1170,2960,2884,2196,2330,1544,1177,975,756,697,1493
Arda Jila,ET041409,Guji,ET0414,Oromia,ET04,Ethiopia,ET,9426,4847,4580,1443,1540,1436,734,275,696,678,516,548,363,277,229,178,164,351,742,792,738,377,141,358,349,265,282,187,142,118,91,84,181,701,748,698,357,134,338,329,251,266,176,134,111,86,80,171
Girja /Harenfema,ET041410,Guji,ET0414,Oromia,ET04,Ethiopia,ET,69511,34766,34745,10641,11354,10591,5412,2027,5130,4998,3806,4038,2676,2041,1690,1311,1207,2589,5322,5679,5297,2707,1014,2566,2500,1904,2019,1339,1021,845,656,604,1295,5319,5675,5294,2705,1013,2564,2498,1902,2018,1338,1020,845,655,603,1294
Ana Sora,ET041411,Guji,ET0414,Oromia,ET04,Ethiopia,ET,109779,52078,57701,16806,17931,16726,8547,3201,8102,7894,6011,6377,4227,3223,2670,2071,1907,4088,7972,8506,7935,4055,1519,3844,3745,2851,3025,2005,1529,1266,982,904,1939,8833,9425,8791,4492,1683,4259,4149,3159,3352,2222,1694,1403,1088,1002,2149
Saba Boru,ET041412,Guji,ET0414,Oromia,ET04,Ethiopia,ET,67139,33896,33244,10278,10966,10229,5227,1958,4955,4828,3676,3900,2585,1971,1633,1266,1166,2500,5189,5536,5164,2639,988,2502,2437,1856,1969,1305,995,824,639,589,1262,5089,5430,5065,2588,969,2454,2390,1820,1931,1280,976,808,627,577,1238
Gora Dola,ET041413,Guji,ET0414,Oromia,ET04,Ethiopia,ET,78471,37799,40671,12013,12817,11956,6110,2288,5791,5642,4297,4558,3021,2304,1908,1480,1363,2922,5787,6174,5759,2943,1102,2790,2718,2070,2196,1455,1110,919,713,656,1408,6226,6643,6197,3167,1186,3002,2924,2227,2362,1566,1194,989,767,706,1515
Negele town,ET041414,Guji,ET0414,Oromia,ET04,Ethiopia,ET,69659,35901,33758,10664,11378,10613,5423,2031,5141,5009,3814,4046,2682,2045,1694,1314,1210,2594,5496,5864,5470,2795,1047,2650,2581,1966,2085,1382,1054,873,677,624,1337,5168,5514,5143,2628,984,2491,2427,1848,1961,1300,991,821,637,586,1257
Aga Wayu,ET041482,Guji,ET0414,Oromia,ET04,Ethiopia,ET,40578,21566,19012,6212,6628,6182,3159,1183,2995,2918,2222,2357,1562,1191,987,765,705,1511,3301,3522,3286,1679,629,1592,1551,1181,1253,830,633,524,407,375,803,2910,3105,2897,1480,554,1403,1367,1041,1104,732,558,462,359,330,708
Haro Walabu,ET041490,Guji,ET0414,Oromia,ET04,Ethiopia,ET,86133,42766,43367,13186,14069,13123,6706,2512,6357,6193,4716,5003,3316,2529,2095,1625,1496,3208,6547,6985,6516,3330,1247,3156,3075,2342,2484,1647,1256,1040,807,743,1593,6639,7083,6607,3376,1265,3201,3118,2375,2519,1670,1273,1055,818,753,1615
Adola town,ET041492,Guji,ET0414,Oromia,ET04,Ethiopia,ET,45320,22901,22419,6938,7402,6905,3528,1322,3345,3259,2481,2632,1745,1331,1102,855,787,1688,3506,3741,3489,1783,668,1690,1647,1254,1330,882,672,557,432,398,853,3432,3662,3416,1745,654,1655,1612,1228,1302,863,658,545,423,389,835
Gumi Idalo,ET041497,Guji,ET0414,Oromia,ET04,Ethiopia,ET,15677,8091,7586,2400,2561,2388,1221,457,1157,1127,858,911,604,460,381,296,272,584,1239,1322,1233,630,236,597,582,443,470,312,238,197,153,141,301,1161,1239,1156,591,221,560,545,415,441,292,223,184,143,132,283
Shakiso town,ET041499,Guji,ET0414,Oromia,ET04,Ethiopia,ET,45286,23809,21477,6933,7397,6900,3526,1321,3342,3256,2480,2631,1744,1330,1101,854,787,1686,3645,3889,3627,1854,694,1757,1712,1304,1383,917,699,579,449,414,887,3288,3508,3272,1672,626,1585,1544,1176,1248,827,631,522,405,373,800
Bule Hora,ET041501,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,238799,117934,120865,36556,39005,36383,18592,6964,17624,17171,13075,13871,9195,7011,5807,4505,4147,8893,18054,19263,17968,9182,3439,8704,8480,6457,6850,4541,3462,2868,2225,2048,4392,18503,19742,18415,9410,3525,8920,8691,6618,7021,4654,3549,2939,2280,2099,4501
Kercha,ET041502,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,318246,158711,159535,48719,51981,48487,24778,9281,23488,22883,17425,18486,12254,9344,7739,6003,5527,11852,24296,25923,24181,12357,4628,11713,11412,8690,9219,6111,4660,3860,2994,2756,5910,24422,26058,24306,12421,4653,11774,11471,8735,9267,6143,4684,3880,3009,2771,5941
Hambela Wamena,ET041509,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,145203,71978,73225,22228,23717,22123,11305,4235,10716,10441,7950,8434,5591,4263,3531,2739,2522,5407,11019,11757,10966,5604,2099,5312,5176,3941,4181,2771,2113,1750,1358,1250,2680,11210,11960,11156,5701,2135,5404,5265,4009,4253,2819,2150,1781,1381,1272,2727
Abaya,ET041513,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,144704,72493,72211,22152,23635,22047,11266,4220,10680,10405,7923,8405,5572,4248,3519,2730,2513,5389,11098,11841,11045,5644,2114,5350,5213,3969,4211,2791,2128,1763,1367,1259,2700,11054,11795,11002,5622,2106,5329,5192,3954,4194,2780,2120,1756,1362,1254,2689
Dugda Dawa,ET041515,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,205692,104412,101280,31488,33597,31339,16015,5999,15181,14790,11262,11948,7920,6039,5002,3880,3572,7660,15984,17054,15908,8129,3045,7706,7508,5717,6065,4020,3065,2539,1970,1813,3888,15504,16543,15431,7885,2954,7475,7282,5545,5883,3900,2974,2463,1910,1759,3772
